id,name_ja,name_en,type_primary,type_secondary,color,shape,genus_ja,rarity,type_1,type_2,motif_1,motif_2,motif_3,motif_4,texture_1,texture_2,texture_3,texture_4,texture_5,expression_1,expression_2,decoration_1,decoration_2,decoration_3,atmosphere_1,atmosphere_2,atmosphere_3
1,フシギダネ,bulbasaur,くさ,どく,green,quadruped,たねポケモン,通常,くさ,どく,しょくぶつ,どく,,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,おだやか・やさしい,とぼけた・ユニーク,よつあしのすがた,はっぱ・はな,とげ・ぶくぶく,おっとり,,
2,フシギソウ,ivysaur,くさ,どく,green,quadruped,たねポケモン,通常,くさ,どく,しょくぶつ,どく,,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,おだやか・やさしい,とぼけた・ユニーク,よつあしのすがた,はっぱ・はな,とげ・ぶくぶく,おっとり,,
3,フシギバナ,venusaur,くさ,どく,green,quadruped,たねポケモン,通常,くさ,どく,しょくぶつ,どく,,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,おだやか・やさしい,とぼけた・ユニーク,よつあしのすがた,はっぱ・はな,とげ・ぶくぶく,おっとり,,
4,ヒトカゲ,charmander,ほのお,,red,upright,とかげポケモン,通常,ほのお,,ほのお・マグマ,,,,ほのお・ねっき,,,,,りりしい・するどい,,ちょくりつのすがた,ほのおのかざり,,かっこいい,ゆうかん,
5,リザード,charmeleon,ほのお,,red,upright,かえんポケモン,通常,ほのお,,ほのお・マグマ,,,,ほのお・ねっき,,,,,りりしい・するどい,,ちょくりつのすがた,ほのおのかざり,,かっこいい,ゆうかん,
6,リザードン,charizard,ほのお,ひこう,red,upright,かえんポケモン,通常,ほのお,ひこう,ほのお・マグマ,,,,ほのお・ねっき,,,,,りりしい・するどい,,ちょくりつのすがた,つばさ・はね,ほのおのかざり,かっこいい,ゆうかん,
7,ゼニガメ,squirtle,みず,,blue,upright,かめのこポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,ものしずか・クール,,ちょくりつのすがた,みずのしぶき,,ナチュラル,,
8,カメール,wartortle,みず,,blue,upright,かめポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,ものしずか・クール,,ちょくりつのすがた,みずのしぶき,,ナチュラル,,
9,カメックス,blastoise,みず,,blue,upright,こうらポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,ものしずか・クール,,ちょくりつのすがた,みずのしぶき,,ナチュラル,,
10,キャタピー,caterpie,むし,,green,armor,いもむしポケモン,通常,むし,,むし,,,,ごつごつ・かたい,こうかく・つや甲羅,,,,ふつう・ナチュラル,,よろい・こうら,,,おっとり,,
11,トランセル,metapod,むし,,green,squiggle,さなぎポケモン,通常,むし,,むし,スライム・ぶよぶよ,,,こうかく・つや甲羅,ねばねば・ぷにぷに,,,,とぼけた・ユニーク,,ほそながい,,,おっとり,,
12,バタフリー,butterfree,むし,ひこう,white,bug-wings,ちょうちょポケモン,通常,むし,ひこう,むし,,,,こうかく・つや甲羅,,,,,ふつう・ナチュラル,,むしのはね,つばさ・はね,,ナチュラル,,
