axis_jp,axis_en,keyword,frequency,share_pct
タイプ,type,みず,154,15.0
タイプ,type,ノーマル,131,12.8
タイプ,type,くさ,127,12.4
タイプ,type,ひこう,109,10.6
タイプ,type,エスパー,102,10.0
タイプ,type,むし,92,9.0
タイプ,type,どく,83,8.1
タイプ,type,ほのお,81,7.9
タイプ,type,じめん,75,7.3
タイプ,type,いわ,74,7.2
タイプ,type,かくとう,73,7.1
タイプ,type,ドラゴン,70,6.8
タイプ,type,でんき,69,6.7
タイプ,type,あく,69,6.7
タイプ,type,はがね,65,6.3
タイプ,type,ゴースト,65,6.3
タイプ,type,フェアリー,64,6.2
タイプ,type,こおり,48,4.7
モチーフ,motif,ひとがた,201,19.6
モチーフ,motif,みず・うみ,170,16.6
モチーフ,motif,いわ・つち・こうぶつ,144,14.0
モチーフ,motif,しょくぶつ,130,12.7
モチーフ,motif,スライム・ぶよぶよ,105,10.2
モチーフ,motif,エスパー・ふしぎ,102,10.0
モチーフ,motif,むし,95,9.3
モチーフ,motif,けもの・じゅう,93,9.1
モチーフ,motif,は虫類・ドラゴン,85,8.3
モチーフ,motif,どく,83,8.1
モチーフ,motif,ほのお・マグマ,81,7.9
モチーフ,motif,とり・つばさ,77,7.5
モチーフ,motif,でんき,69,6.7
モチーフ,motif,あく・やみ,69,6.7
モチーフ,motif,きんぞく・メカ,65,6.3
モチーフ,motif,ゴースト・れいたい,65,6.3
モチーフ,motif,フェアリー・せいれい,64,6.2
モチーフ,motif,こおり・ゆき,48,4.7
モチーフ,motif,その他・不定形,29,2.8
質感,texture,ねばねば・ぷにぷに,202,19.7
質感,texture,つるつる・なめらか,200,19.5
質感,texture,標準・なめらか,190,18.5
質感,texture,ごつごつ・かたい,177,17.3
質感,texture,みずみずしい・うるおい,154,15.0
質感,texture,はっぱ・しょくぶつ質,127,12.4
質感,texture,こうかく・つや甲羅,108,10.5
質感,texture,もや・はんとうめい,85,8.3
質感,texture,うろこ,83,8.1
質感,texture,ほのお・ねっき,81,7.9
質感,texture,もこもこ・ふわふわ,78,7.6
質感,texture,おび電・スパーク,69,6.7
質感,texture,きんぞく・メタリック,65,6.3
質感,texture,こおり・つめたい,48,4.7
表情,expression,ものしずか・クール,376,36.7
表情,expression,りりしい・するどい,274,26.7
表情,expression,にこにこ・あどけない,225,22.0
表情,expression,ふつう・ナチュラル,175,17.1
表情,expression,とぼけた・ユニーク,140,13.7
表情,expression,おだやか・やさしい,95,9.3
表情,expression,どうどう・威厳,94,9.2
装飾,decoration,ちょくりつのすがた,216,21.1
装飾,decoration,よつあしのすがた,200,19.5
装飾,decoration,とげ・こうぶつ結晶,195,19.0
装飾,decoration,ほうせき・かがやき,158,15.4
装飾,decoration,てあし・とくちょうてきなかお,155,15.1
装飾,decoration,みずのしぶき,154,15.0
装飾,decoration,もや・かげ,132,12.9
装飾,decoration,はっぱ・はな,127,12.4
装飾,decoration,つばさ・はね,122,11.9
装飾,decoration,とげ・ぶくぶく,83,8.1
装飾,decoration,ほのおのかざり,81,7.9
装飾,decoration,つの・うろこ模様,70,6.8
装飾,decoration,でんきの模様・ギザギザ,69,6.7
装飾,decoration,まるいフォルム,51,5.0
装飾,decoration,たくましいうで,48,4.7
装飾,decoration,こおりのけっしょう,48,4.7
装飾,decoration,ひれ,47,4.6
装飾,decoration,よろい・こうら,46,4.5
装飾,decoration,シンプル・そぼく,41,4.0
装飾,decoration,ほそながい,40,3.9
装飾,decoration,あし・つめ,28,2.7
装飾,decoration,しょくしゅ・ひげ,24,2.3
装飾,decoration,むしのはね,22,2.1
装飾,decoration,ふくすうのあたま,20,2.0
雰囲気,atmosphere,ミステリアス,285,27.8
雰囲気,atmosphere,ナチュラル,284,27.7
雰囲気,atmosphere,かっこいい,229,22.3
雰囲気,atmosphere,かわいい,227,22.1
雰囲気,atmosphere,おっとり,204,19.9
雰囲気,atmosphere,そうごん・でんせつ,94,9.2
雰囲気,atmosphere,ゆうかん,85,8.3
