axis_jp,axis_en,keyword,frequency,share_in_axis_pct,rank_in_axis,overlap_tier,selector,user_priority,grounding
タイプ,type,みず,154,9.9,1,被りやすい,app_auto,-,確定(公式)
タイプ,type,ノーマル,131,8.4,2,被りやすい,app_auto,-,確定(公式)
タイプ,type,くさ,127,8.2,3,被りやすい,app_auto,-,確定(公式)
タイプ,type,ひこう,109,7.0,4,被りやすい,app_auto,-,確定(公式)
タイプ,type,エスパー,102,6.6,5,被りやすい,app_auto,-,確定(公式)
タイプ,type,むし,92,5.9,6,被りやすい,app_auto,-,確定(公式)
タイプ,type,どく,83,5.4,7,中,user_selectable,準,確定(公式)
タイプ,type,ほのお,81,5.2,8,中,user_selectable,準,確定(公式)
タイプ,type,じめん,75,4.8,9,中,user_selectable,準,確定(公式)
タイプ,type,いわ,74,4.8,10,中,user_selectable,準,確定(公式)
タイプ,type,かくとう,73,4.7,11,中,user_selectable,準,確定(公式)
タイプ,type,ドラゴン,70,4.5,12,中,user_selectable,準,確定(公式)
タイプ,type,でんき,69,4.4,13,被りにくい,user_selectable,推奨,確定(公式)
タイプ,type,あく,69,4.4,14,被りにくい,user_selectable,推奨,確定(公式)
タイプ,type,はがね,65,4.2,15,被りにくい,user_selectable,推奨,確定(公式)
タイプ,type,ゴースト,65,4.2,16,被りにくい,user_selectable,推奨,確定(公式)
タイプ,type,フェアリー,64,4.1,17,被りにくい,user_selectable,推奨,確定(公式)
タイプ,type,こおり,48,3.1,18,被りにくい,user_selectable,推奨,確定(公式)
モチーフ,motif,ひとがた,201,11.5,1,被りやすい,app_auto,-,強
モチーフ,motif,みず・うみ,170,9.7,2,被りやすい,app_auto,-,強
モチーフ,motif,いわ・つち・こうぶつ,144,8.2,3,被りやすい,app_auto,-,強
モチーフ,motif,しょくぶつ,130,7.4,4,被りやすい,app_auto,-,強
モチーフ,motif,スライム・ぶよぶよ,105,6.0,5,被りやすい,app_auto,-,強
モチーフ,motif,エスパー・ふしぎ,102,5.8,6,被りやすい,app_auto,-,強
モチーフ,motif,むし,95,5.4,7,中,user_selectable,準,強
モチーフ,motif,けもの・じゅう,93,5.3,8,中,user_selectable,準,強
モチーフ,motif,は虫類・ドラゴン,85,4.9,9,中,user_selectable,準,強
モチーフ,motif,どく,83,4.8,10,中,user_selectable,準,強
モチーフ,motif,ほのお・マグマ,81,4.6,11,中,user_selectable,準,強
モチーフ,motif,とり・つばさ,77,4.4,12,中,user_selectable,準,強
モチーフ,motif,でんき,69,4.0,13,被りにくい,user_selectable,推奨,強
モチーフ,motif,あく・やみ,69,4.0,14,被りにくい,user_selectable,推奨,強
モチーフ,motif,きんぞく・メカ,65,3.7,15,被りにくい,user_selectable,推奨,強
モチーフ,motif,ゴースト・れいたい,65,3.7,16,被りにくい,user_selectable,推奨,強
モチーフ,motif,フェアリー・せいれい,64,3.7,17,被りにくい,user_selectable,推奨,強
モチーフ,motif,こおり・ゆき,48,2.7,18,被りにくい,user_selectable,推奨,強
質感,texture,ねばねば・ぷにぷに,202,13.7,1,被りやすい,app_auto,-,中
質感,texture,つるつる・なめらか,200,13.5,2,被りやすい,app_auto,-,中
質感,texture,ごつごつ・かたい,177,12.0,3,被りやすい,app_auto,-,中
質感,texture,みずみずしい・うるおい,154,10.4,4,被りやすい,app_auto,-,中
質感,texture,はっぱ・しょくぶつ質,127,8.6,5,被りやすい,app_auto,-,中
質感,texture,こうかく・つや甲羅,108,7.3,6,中,user_selectable,準,中
質感,texture,もや・はんとうめい,85,5.8,7,中,user_selectable,準,中
質感,texture,うろこ,83,5.6,8,中,user_selectable,準,中
質感,texture,ほのお・ねっき,81,5.5,9,中,user_selectable,準,中
質感,texture,もこもこ・ふわふわ,78,5.3,10,被りにくい,user_selectable,推奨,中
質感,texture,おび電・スパーク,69,4.7,11,被りにくい,user_selectable,推奨,中
質感,texture,きんぞく・メタリック,65,4.4,12,被りにくい,user_selectable,推奨,中
質感,texture,こおり・つめたい,48,3.2,13,被りにくい,user_selectable,推奨,中
表情,expression,ものしずか・クール,376,31.2,1,被りやすい,app_auto,-,弱(代理推定)
表情,expression,りりしい・するどい,274,22.8,2,被りやすい,app_auto,-,弱(代理推定)
