file,role,occupancy,aspect,eff_colors,regions,small_regions,contour,solidity,symmetry,edge_density,complexity
1.png,starter,0.555859375,1.0735294117647058,47,25,32,1.142193669233957,0.9117995706916989,0.7655086848635235,0.303232607167955,0.7484454192023777
10.png,bug_fast,0.45546875,1.0,48,39,35,1.400266124708278,0.8146440299028855,0.439683911594024,0.37032590051457975,0.8333887759808913
100.png,gag,0.613984375,1.028169014084507,42,9,7,0.8932786055102306,1.0,0.924574507162973,0.14244814861941724,0.48663209907961147
101.png,gag,0.6428125,0.9863013698630136,40,7,14,0.8950088668078787,1.0,0.9924930378980507,0.17033300923675254,0.4695077204435493
102.png,gag,0.4170703125,1.280701754385965,48,25,48,1.1766511315367467,0.8781510877164124,0.6910041178333861,0.32621522899690925,0.7709458050680951
103.png,cool,0.3398828125,1.028169014084507,50,24,43,3.2449664102280242,0.5517613113922445,0.6071296638345032,0.4848867946213079,1.0
104.png,cute,0.428046875,0.8356164383561644,50,20,48,1.4767601973025715,0.7613687684557929,0.6809326583831876,0.2942142726774959,0.8121345562230331
105.png,cool,0.32859375,0.821917808219178,51,21,30,1.9776817637041448,0.7181457292867205,0.4566233766233766,0.34403233475986683,0.9497052572782748
106.png,cool,0.213046875,1.1587301587301588,50,20,73,2.035938758631823,0.4927274369861776,0.24293527803099363,0.425009167583425,0.9658205747149631
107.png,cool,0.2203515625,0.7534246575342466,47,37,49,2.046979627598878,0.5704894822006472,0.24718107450806986,0.4619748271583053,0.9681207557497662
108.png,gag,0.555625,1.0895522388059702,47,25,30,1.2157585015164998,0.907085007333716,0.7454902442017426,0.30392294713160856,0.7642316525703432
109.png,gag,0.366875,1.1967213114754098,47,22,28,2.133634380003038,0.6481935194451154,0.6359519247517854,0.30994463373083475,0.9594702516545228
11.png,bug_fast,0.3337890625,0.8767123287671232,38,25,36,1.1596385148931128,0.8441173565148671,0.26742806288935034,0.2665886483323581,0.7276504561576373
110.png,gag,0.34484375,1.1774193548387097,45,29,71,2.047614896485905,0.6813568479141744,0.6427242277633048,0.44381513366560943,0.9682531034345636
111.png,zako,0.5046484375,0.9178082191780822,52,29,53,1.1937838389088458,0.8897076546950863,0.8283328615907161,0.34042882576050776,0.7839908502796815
112.png,cool,0.3140625,1.2166666666666666,48,27,57,1.793254375953234,0.645135406218656,0.379783765230822,0.397636815920398,0.9152613283235904
113.png,cute,0.4751953125,1.140625,39,24,29,1.342759750676009,0.8363411364339487,0.8011548711874444,0.23904644471845457,0.7474392445364717
114.png,gag,0.5555078125,1.106060606060606,49,30,73,1.1449205787297516,0.9213475866537091,0.8288323045267489,0.410660291118768,0.780191787235365
115.png,solo,0.4912890625,0.9726027397260274,49,19,60,1.6475850308760336,0.7992247323102342,0.5733049787340505,0.33998568816092867,0.8782373402064595
116.png,cute,0.39,0.9041095890410958,46,16,28,1.7390957508840912,0.7158015486091196,0.39014202172096907,0.3078926282051282,0.8759067002376045
117.png,cool,0.3025390625,1.1587301587301588,44,22,46,1.9168385761827453,0.6804304853942456,0.5264091446590461,0.412911555842479,0.9410080367047386
118.png,zako,0.2419921875,1.7804878048780488,49,28,43,1.551894911003557,0.7755383074611918,0.525486333415415,0.3728813559322034,0.8649781064590745
119.png,zako,0.4603125,1.0735294117647058,47,32,35,1.611166378636567,0.7852335576730859,0.6651123357354811,0.40580448065173114,0.8773263288826181
12.png,bug_fast,0.4701953125,1.106060606060606,48,35,61,1.6738515018063007,0.8133657679572944,0.7354382929642446,0.35773033147794303,0.8903857295429793
120.png,zako,0.4038671875,0.9383561643835616,42,22,34,1.3649630753075765,0.6771901097101687,0.6551668934603377,0.3394912467356611,0.8190281385128526
121.png,cool,0.48359375,1.0503597122302157,45,34,38,1.47049224743358,0.7444825305189728,0.9005219527172245,0.3948303715670436,0.8480192182153292
122.png,gag,0.36546875,1.0579710144927537,48,32,32,2.9310013817550336,0.5336984113402355,0.5195712197498782,0.4423899102180419,1.0
123.png,cool,0.2534375,0.8835616438356164,46,27,67,2.798249447616452,0.46612544004598033,0.3193695983731571,0.5103267570900123,1.0
124.png,gag,0.3740625,1.2372881355932204,47,20,45,1.879535768730846,0.7626936402373462,0.8006769462203837,0.39598997493734334,0.9332366184855929
125.png,cool,0.2816796875,1.028169014084507,47,35,75,2.6177220889899857,0.5157345158060364,0.20524820324252047,0.5483289418943281,1.0
126.png,cool,0.3325,1.028169014084507,48,33,57,2.5530877157349625,0.5662021485349387,0.44442558968267437,0.4263392857142857,1.0
127.png,solo,0.335078125,0.958904109589041,50,24,73,2.4366437293379404,0.5957358149871519,0.3895998704033695,0.4677080904639776,1.0
128.png,solo,0.283046875,1.0895522388059702,44,21,46,3.08860105527186,0.507156605424322,0.47817217462260303,0.35978470880485786,1.0
129.png,gag,0.3340625,0.8904109589041096,49,26,33,2.0315871212374854,0.6560294568886161,0.5304223335719399,0.4492516370439663,0.9649139835911429
13.png,bug_fast,0.2793359375,0.7808219178082192,41,27,52,1.531173360161723,0.6677560930058829,0.16106510797207338,0.34554607747168226,0.8576918350148138
130.png,cool,0.27046875,0.821917808219178,49,31,88,2.990095941584017,0.6127704765697597,0.374900714853058,0.5540150202195263,1.0
131.png,solo,0.317265625,1.042857142857143,44,18,46,1.7434872292334727,0.6297588586492983,0.7135021097046413,0.36419601083476977,0.9048931727569736
132.png,gag,0.497734375,1.1774193548387097,39,16,14,1.0471051379103162,0.911444921316166,0.8328538550057537,0.10006278449223042,0.5931887600594696
133.png,cute,0.357109375,0.8082191780821918,47,19,30,1.814469094256751,0.7220883851348683,0.5699811093937833,0.3401881426383723,0.9131398230624048
134.png,cute,0.3763671875,0.9041095890410958,46,27,36,1.8881416748927269,0.5947898018396197,0.5497828534663021,0.4227296315516347,0.9350295156026514
135.png,cool,0.3482421875,0.8767123287671232,42,19,26,2.408071823106813,0.6631210949122285,0.5352161184776993,0.4226584408300617,1.0
136.png,cute,0.4055859375,1.123076923076923,45,20,13,1.8133220431909176,0.7042664315268263,0.6037998146431881,0.2886449003178272,0.8785386925433261
137.png,gag,0.4308203125,0.9452054794520548,47,25,20,1.4505101076142426,0.7990291965514743,0.5060767445036187,0.32668419620999184,0.8283124032262952
138.png,zako,0.51734375,0.8767123287671232,46,29,34,1.1520818635818066,0.9495268138801262,0.6252300895815438,0.3456659619450317,0.7787943628762308
139.png,cool,0.4130078125,1.140625,51,29,42,1.9615617924907898,0.7382864325116961,0.6551346274264246,0.44074529461836753,0.9503253734355812
14.png,bug_fast,0.3173828125,0.5342465753424658,48,20,32,1.0233663577360983,0.970554858746939,0.8886564388656439,0.3268923076923077,0.7394628629898923
140.png,zako,0.4690234375,1.3518518518518519,41,21,12,1.1198686051434952,0.9583366589512331,0.8603966532383018,0.23477971183476307,0.6981591006280703
