dex,name,role,stage,bst
1,Bulbasaur,starter,1,318
2,Ivysaur,starter,2,405
3,Venusaur,starter,3,525
4,Charmander,starter,1,309
5,Charmeleon,starter,2,405
6,Charizard,starter,3,534
7,Squirtle,starter,1,314
8,Wartortle,starter,2,405
9,Blastoise,starter,3,530
10,Caterpie,bug_fast,1,195
11,Metapod,bug_fast,2,205
12,Butterfree,bug_fast,3,395
13,Weedle,bug_fast,1,195
14,Kakuna,bug_fast,2,205
15,Beedrill,bug_fast,3,395
16,Pidgey,zako,1,251
17,Pidgeotto,zako,2,349
18,Pidgeot,cool,3,479
19,Rattata,zako,1,253
20,Raticate,zako,2,413
21,Spearow,zako,1,262
22,Fearow,zako,2,442
23,Ekans,zako,1,288
24,Arbok,cool,2,438
25,Pikachu,cute,1,320
26,Raichu,cute,2,485
27,Sandshrew,zako,1,300
28,Sandslash,zako,2,450
29,Nidoran-f,zako,1,275
30,Nidorina,zako,2,365
31,Nidoqueen,cool,3,505
32,Nidoran-m,zako,1,273
33,Nidorino,zako,2,365
34,Nidoking,cool,3,505
35,Clefairy,cute,1,323
36,Clefable,cute,2,483
37,Vulpix,cute,1,299
38,Ninetales,cool,2,505
39,Jigglypuff,cute,1,270
40,Wigglytuff,cute,2,435
41,Zubat,zako,1,245
42,Golbat,zako,2,455
43,Oddish,zako,1,320
44,Gloom,zako,2,395
45,Vileplume,zako,3,490
46,Paras,zako,1,285
47,Parasect,gag,2,405
48,Venonat,zako,1,305
49,Venomoth,zako,2,450
50,Diglett,gag,1,265
51,Dugtrio,gag,2,425
52,Meowth,cute,1,290
53,Persian,cool,2,440
54,Psyduck,gag,1,320
55,Golduck,cool,2,500
56,Mankey,zako,1,305
57,Primeape,cool,2,455
58,Growlithe,cute,1,350
59,Arcanine,cool,2,555
60,Poliwag,zako,1,300
61,Poliwhirl,zako,2,385
62,Poliwrath,cool,3,510
63,Abra,zako,1,310
64,Kadabra,cool,2,400
65,Alakazam,cool,3,500
66,Machop,zako,1,305
67,Machoke,zako,2,405
68,Machamp,cool,3,505
69,Bellsprout,zako,1,300
70,Weepinbell,zako,2,390
71,Victreebel,zako,3,490
72,Tentacool,zako,1,335
73,Tentacruel,cool,2,515
74,Geodude,zako,1,300
75,Graveler,zako,2,390
76,Golem,cool,3,495
77,Ponyta,cute,1,410
78,Rapidash,cool,2,500
79,Slowpoke,gag,1,315
80,Slowbro,gag,2,490
81,Magnemite,zako,1,325
82,Magneton,zako,2,465
83,Farfetchd,gag,1,377
84,Doduo,zako,1,310
85,Dodrio,zako,2,470
86,Seel,cute,1,325
87,Dewgong,cool,2,475
88,Grimer,gag,1,325
89,Muk,gag,2,500
90,Shellder,zako,1,305
91,Cloyster,cool,2,525
92,Gastly,cool,1,310
93,Haunter,cool,2,405
94,Gengar,cool,3,500
95,Onix,solo,1,385
96,Drowzee,gag,1,328
97,Hypno,gag,2,483
98,Krabby,zako,1,325
99,Kingler,zako,2,475
100,Voltorb,gag,1,330
101,Electrode,gag,2,490
102,Exeggcute,gag,1,325
103,Exeggutor,cool,2,530
104,Cubone,cute,1,320
105,Marowak,cool,2,425
106,Hitmonlee,cool,1,455
107,Hitmonchan,cool,1,455
108,Lickitung,gag,1,385
109,Koffing,gag,1,340
110,Weezing,gag,2,490
111,Rhyhorn,zako,1,345
112,Rhydon,cool,2,485
113,Chansey,cute,1,450
114,Tangela,gag,1,435
115,Kangaskhan,solo,1,490
116,Horsea,cute,1,295
117,Seadra,cool,2,440
118,Goldeen,zako,1,320
119,Seaking,zako,2,450
120,Staryu,zako,1,340
121,Starmie,cool,2,520
122,Mr-Mime,gag,1,460
123,Scyther,cool,1,500
124,Jynx,gag,1,455
125,Electabuzz,cool,1,490
126,Magmar,cool,1,495
127,Pinsir,solo,1,500
128,Tauros,solo,1,490
129,Magikarp,gag,1,200
130,Gyarados,cool,2,540
131,Lapras,solo,1,535
132,Ditto,gag,1,288
133,Eevee,cute,1,325
134,Vaporeon,cute,2,525
135,Jolteon,cool,2,525
136,Flareon,cute,2,525
137,Porygon,gag,1,395
138,Omanyte,zako,1,355
139,Omastar,cool,2,495
140,Kabuto,zako,1,355
141,Kabutops,cool,2,495
142,Aerodactyl,solo,1,515
143,Snorlax,solo,1,540
144,Articuno,legend,1,580
145,Zapdos,legend,1,580
146,Moltres,legend,1,580
147,Dratini,cute,1,300
148,Dragonair,cool,2,420
149,Dragonite,pseudo,3,600
150,Mewtwo,legend,1,680
151,Mew,legend,1,600
